Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Series D - Aledade,Series D,Late-stage,"IVP, Meritech Capital Partners, OMERS Growth Equity, Tiger Global Management",Aledade,Series D,"$100,000,000 ",1/19/21,2021,Meritech Capital Partners,"$2,000,000,000 ","$677,899,959 ",14.75%
Series B - Hopin,Series B,Early-stage,"Accel, Coatue, DFJ Growth, IVP, Lars Fjeldsoe-Nielsen, Northzone, Octave, Salesforce Ventures, Seedcamp, Tiger Global Management",Hopin,Series B,"$125,000,000 ",11/10/20,2020,"IVP, Tiger Global Management","$2,000,000,000 ","$1,021,440,519 ",12.24%
Corporate Round - Aihuishou,Corporate Round,Late-stage,"5Y Capital, Fresh Capital, GenBridge Capital, JD.com, Tiantu Capital, Tiger Global Management",Aihuishou,Corporate Round,"$500,000,000 ",6/4/19,2019,JD.com,"$2,000,000,000 ","$877,616,962 ",56.97%
Series E - Highspot,Series E,Venture-Growth,"Bain & Company, ICONIQ Capital, ICONIQ Growth, Madrona, OpenView, Salesforce Ventures, Sapphire Ventures, Shasta Ventures, Tiger Global Management",Highspot,Series E,"$200,000,000 ",2/22/21,2021,Tiger Global Management,"$2,100,000,000 ","$644,850,000 ",31.01%
Series D - Rapyd,Series D,Late-stage,"Avid Ventures, Coatue, Durable Capital Partners, Entrée Capital, FJ Labs, General Catalyst, Latitude, LVL1 Group, Oak HC/FT, Spark Capital, Tal Capital, Tal Ventures, Target Global, Tiger Global Management",Rapyd,Series D,"$300,000,000 ",1/13/21,2021,"Coatue, Tal Ventures","$2,200,000,000 ","$770,000,000 ",38.96%
Series F - Roblox,Series F,Venture-Growth,"Altos Ventures, Greylock, Index Ventures, Meritech Capital Partners, Tiger Global Management",Roblox,Series F,"$149,999,985 ",7/16/18,2018,"Greylock, Tiger Global Management","$2,250,000,000 ","$856,742,214 ",17.51%
Venture Round - Dream11,Venture Round,Late-stage,"Chrys Capital, Footpath Ventures, Tiger Global Management, TPG",Dream11,Venture - Series Unknown,"$225,000,000 ",9/14/20,2020,,"$2,275,000,000 ","$1,618,988,532 ",13.90%
Series C - Getir,Series C,Late-stage,"Base Partners, Sequoia Capital, Tiger Global Management",Getir,Series C,"$300,000,000 ",3/26/21,2021,"Sequoia Capital, Tiger Global Management","$2,300,000,000 ","$1,793,000,000 ",16.73%
Series D - Vercel,Series D,Late-stage,"8VC, Accel, Angels of Many, Bedrock, CRV, Flex Capital, Geodesic Capital, Google Ventures, Greenoaks, Latacora, Notable Capital, Salesforce Ventures, SV Angel, Tiger Global Management",Vercel,Series D,"$150,000,000 ",11/23/21,2021,Notable Capital,"$2,350,000,000 ","$563,000,000 ",26.64%
Series E - Meicai,Series E,Venture-Growth,"CMC Capital Group, Tiger Global Management, VMS Asset Management",Meicai,Series E,"$450,000,000 ",1/11/18,2018,"CMC Capital Group, Tiger Global Management","$2,350,000,000 ","$1,453,352,805 ",30.96%
Series D - Infra.Market,Series D,Late-stage,Tiger Global Management,Infra.Market,Series D,"$125,000,000 ",8/2/21,2021,Tiger Global Management,"$2,375,000,000 ","$726,633,355 ",17.20%
Series F - DataRobot,Series F,Venture-Growth,"Altimeter Capital, B Capital, BlackRock, ClearBridge Investments, Glynn Capital Management, New Enterprise Associates, Oryx Ventures, Sapphire Ventures, Silver Lake, Silver Lake Waterman, T. Rowe Price, Tiger Global Management",DataRobot,Series F,"$270,000,000 ",11/17/20,2020,Altimeter Capital,"$2,430,000,000 ","$1,050,598,000 ",25.70%
Series F - Pendo,Series F,Venture-Growth,"B Capital, Battery Ventures, Contour Venture Partners, FirstMark, General Atlantic, Geodesic Capital, IDEA Fund Partners, Meritech Capital Partners, Sapphire Ventures, Silver Lake Waterman, Tiger Global Management",Pendo,Series F,"$150,000,000 ",7/26/21,2021,B Capital,"$2,450,000,000 ","$479,412,849 ",31.29%
Venture Round - Side,Venture Round,Late-stage,"D1 Capital Partners, ICONIQ Growth, Parker89, Scale-Up, Tiger Global Management",Side,Venture - Series Unknown,"$50,000,000 ",6/28/21,2021,Tiger Global Management,"$2,450,000,000 ","$263,500,000 ",18.98%
Series E - Toast,Series E,Venture-Growth,"Bessemer Venture Partners, G Squared, Lead Edge Capital, Light Street Capital, Riot Ventures, T. Rowe Price, TCV, Tiger Global Management",Toast,Series E,"$250,000,000 ",3/29/19,2019,"TCV, Tiger Global Management","$2,450,000,000 ","$961,950,000 ",25.99%
Series E - GitLab,Series E,Venture-Growth,"Adage Capital Management, Alkeon Capital, Altimeter Capital, Coatue, D1 Capital Partners, Franklin Templeton, Goldman Sachs, ICONIQ Growth, Light Street Capital, TCV, Tiger Global Management, Tiger Management Corporation, Two Sigma Private Investments, Y Combinator Continuity Fund",GitLab,Series E,"$268,000,000 ",9/17/19,2019,"Goldman Sachs, ICONIQ Growth","$2,482,000,000 ","$413,500,000 ",64.81%
Series D - Weee!,Series D,Late-stage,"Arena Holdings, Blackstone Group, DST Global, Tiger Global Management",Weee!,Series D,"$315,000,000 ",3/16/21,2021,DST Global,"$2,485,000,000 ","$862,750,000 ",36.51%
Series E - BharatPe,Series E,Venture-Growth,"Amplo, Coatue, Dragoneer Investment Group, Insight Partners, Peak XV Partners, Ribbit Capital, Steadfast Capital Management, Tiger Global Management",BharatPe,Series E,"$350,000,000 ",8/4/21,2021,Tiger Global Management,"$2,500,000,000 ","$790,692,341 ",44.27%
Secondary Market - Lucid Software,Secondary Market,Venture-Growth,"Alkeon Capital, Steadfast Capital Management, Tiger Global Management",Lucid Software,Secondary Market,"$500,000,000 ",6/24/21,2021,Alkeon Capital,"$2,500,000,000 ","$670,362,414 ",74.59%
Series E - StockX,Series E,Venture-Growth,"Altimeter Capital, Sands Capital Ventures, Tiger Global Management, Whale Rock Capital Management",StockX,Series E,"$275,000,000 ",12/16/20,2020,Tiger Global Management,"$2,525,000,000 ","$690,000,000 ",39.86%
Series E - Nuvemshop,Series E,Venture-Growth,"Accel, Alkeon Capital, Insight Partners, Kaszek, Kevin Efrusy, Owl Rock Capital, Qualcomm Ventures, Sunley House Capital Management, ThornTree Capital Partners, Tiger Global Management, VMG Partners",Nuvemshop,Series E,"$500,000,000 ",8/17/21,2021,"Insight Partners, Tiger Global Management","$2,600,000,000 ","$628,382,500 ",79.57%
Series D - BlockFi,Series D,Late-stage,"Akuna Capital, Bain Capital Ventures, Bill Silva Ventures, Bracket Capital, Breyer Capital, Castle Island Ventures, CMS Holdings, DST Global, Gaingels, Hudson River Trading, Jump Capital, Kenetic, Morgan Creek Digital, Pacific Century Group, Paradigm, ParaFi Capital, PJC, Pomp Investments, Susquehanna Government Products, The Venture Collective, Third Prime, Tiger Global Management, Valar Ventures, Valor Capital Group",BlockFi,Series D,"$350,000,000 ",2/19/21,2021,"Bain Capital Ventures, Bracket Capital, DST Global, Pomp Investments, Tiger Global Management","$2,650,000,000 ","$1,406,200,000 ",24.89%
Series F - Forter,Series F,Venture-Growth,"Adage Capital Management, Bessemer Venture Partners, Citi Ventures, L Catterton, March Capital, MSD Capital, NewView Capital, Salesforce Ventures, Samsung NEXT, Scale Venture Partners, Sequoia Capital Israel, Third Point Ventures, Tiger Global Management",Forter,Series F,"$300,000,000 ",5/21/21,2021,Tiger Global Management,"$2,700,000,000 ","$525,101,500 ",57.13%
Series D - Hinge Health,Series D,Late-stage,"11.2 Capital, Atomico, Bessemer Venture Partners, Coatue, Counterpart Advisors, Heuristic Capital, Insight Partners, Lead Edge Capital, Quadrille Capital, Tiger Global Management",Hinge Health,Series D,"$300,000,000 ",1/7/21,2021,"Coatue, Tiger Global Management","$2,700,000,000 ","$826,132,500 ",36.31%
Series D - Automattic,Series D,Late-stage,"Akkadian Ventures, Blacksmith Capital, Chris Sacca, CNET Networks, Dave Goldberg, eBrands, ICONIQ Capital, Insight Partners, Lowercase Capital, Matt Mullenweg, Pete Sheinbaum, Radar Partners, Salesforce Ventures, Savano Capital Partners, The New York Times, Tiger Global Management, True Ventures",Automattic,Series D,"$300,000,000 ",9/19/19,2019,Salesforce Ventures,"$2,700,000,000 ","$985,900,000 ",30.43%
Series C - TradingView,Series C,Late-stage,"J. Hunt Holdings, Tiger Global Management",TradingView,Series C,"$298,000,000 ",10/14/21,2021,Tiger Global Management,"$2,702,000,000 ","$338,752,500 ",87.97%
Series F - SentinelOne,Series F,Venture-Growth,"Insight Partners, Sequoia Capital, Third Point Ventures, Tiger Global Management",SentinelOne,Series F,"$267,000,000 ",11/11/20,2020,Tiger Global Management,"$2,733,000,000 ","$696,520,000 ",38.33%
Series E - Groww,Series E,Venture-Growth,"Alkeon Capital, ICONIQ Growth, Lone Pine Capital, Peak XV Partners, Propel, Ribbit Capital, Steadfast Capital Management, Tiger Global Management, Y Combinator Continuity Fund",Groww,Series E,"$251,000,000 ",10/24/21,2021,ICONIQ Growth,"$2,749,000,000 ","$418,262,674 ",60.01%
Series C - ActiveCampaign,Series C,Late-stage,"Dragoneer Investment Group, Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",ActiveCampaign,Series C,"$240,000,000 ",4/21/21,2021,Tiger Global Management,"$2,760,000,000 ","$360,000,000 ",66.67%
Series F - OfBusiness,Series F,Venture-Growth,"Alpha Wave Global, SoftBank Vision Fund, Tiger Global Management, Z47",OfBusiness,Series F,"$200,000,000 ",9/30/21,2021,Tiger Global Management,"$2,800,000,000 ","$878,125,171 ",22.78%
Series F - Contentful,Series F,Venture-Growth,"Base10’s Advancement Initiative, Tidemark, Tiger Global Management",Contentful,Series F,"$175,000,000 ",7/28/21,2021,Tiger Global Management,"$2,825,000,000 ","$349,600,000 ",50.06%
Series E - Razorpay,Series E,Venture-Growth,"GIC, Peak XV Partners, Ribbit Capital, Tiger Global Management, Z47",Razorpay,Series E,"$160,000,000 ",4/19/21,2021,"GIC, Peak XV Partners","$2,840,000,000 ","$816,309,769 ",19.60%
Series A - MoonPay,Series A,Early-stage,"Abel Makkonen Tesfaye, Amir Esmailian, Ashton Kutcher, Aubrey Graham (Drake), Blossom Capital, Buck Stash, Calvin Broadus, Christian Edler, Coatue, DreamCrew, FJ Labs, Guy Oseary, Gwyneth Paltrow, HOF Capital, J.A.S Ventures, Jaws Ventures, Jean Abrial, Justin Bieber, K2 Global, K5 Global, Maria Sharapova, New Enterprise Associates, Night Ventures, North West Quadrant Ventures ( NWQ Ventures), Paradigm, Quiet Capital, The Aventures, Thrive Capital, Tiger Global Management, Tribe Capital, Valhalla Ventures, Walter Bruce Willis",MoonPay,Series A,"$555,000,000 ",11/22/21,2021,"Coatue, Tiger Global Management","$2,845,000,000 ","$650,677,600 ",85.30%
Series D - Outschool,Series D,Late-stage,"Bond, Coatue, FundersClub, Lightspeed Venture Partners, Reach Capital, SV Angel, Tiger Global Management, Union Square Ventures",Outschool,Series D,"$110,000,000 ",10/14/21,2021,"Bond, Tiger Global Management","$2,890,000,000 ","$240,220,000 ",45.79%
Series G - Thumbtack,Series G,Venture-Growth,"Baillie Gifford, Blackstone Alternative Asset Management, CapitalG, Founders Circle Capital, G Squared, Qatar Investment Authority, Sequoia Capital, Tiger Global Management",Thumbtack,Series G,"$275,000,000 ",6/15/21,2021,Qatar Investment Authority,"$2,925,000,000 ","$773,200,000 ",35.57%
Series H - Procore,Series H,Venture-Growth,"CPP Investments, ICONIQ Growth, Tiger Global Management",Procore,Series H,"$75,000,000 ",12/14/18,2018,Tiger Global Management,"$2,925,000,000 ","$654,024,981 ",11.47%
Series H - Unacademy,Series H,Venture-Growth,"Aroa Venture Partners, Bhavin Turakhia, Deepinder Goyal, Dragoneer Investment Group, General Atlantic, Mirae Asset Venture Investment, Ritesh Agarwal, SoftBank Vision Fund, Temasek Holdings, Tiger Global Management",Unacademy,Series H,"$440,000,000 ",8/1/21,2021,Temasek Holdings,"$3,000,000,000 ","$838,500,000 ",52.47%
Series D - Cedar,Series D,Late-stage,"Andreessen Horowitz, Concord Health Partners, Section Partners, Thrive Capital, Tiger Global Management",Cedar,Series D,"$200,000,000 ",3/9/21,2021,Tiger Global Management,"$3,000,000,000 ","$419,361,000 ",47.69%
Series G - Blend,Series G,Venture-Growth,"Ballistic Ventures, Coatue, Tiger Global Management",Blend,Series G,"$300,000,000 ",1/13/21,2021,"Coatue, Tiger Global Management","$3,000,000,000 ","$815,000,000 ",36.81%
Series E - Innovaccer,Series E,Venture-Growth,"Avidity Partners, B Capital, Dragoneer Investment Group, M12 - Microsoft's Venture Fund, Mubadala Capital Ventures, OMERS Growth Equity, Schonfeld Strategic Advisors, Steadview Capital, Tiger Global Management, Whale Rock Capital Management",Innovaccer,Series E,"$150,000,000 ",12/15/21,2021,Mubadala Capital Ventures,"$3,050,000,000 ","$379,100,000 ",39.57%
Series E - Komodo Health,Series E,Venture-Growth,"Andreessen Horowitz, Casdin Capital, ICONIQ Growth, SVB Capital, Tiger Global Management",Komodo Health,Series E,"$220,000,000 ",3/22/21,2021,Tiger Global Management,"$3,080,000,000 ","$514,000,000 ",42.80%
Series C - HighRadius,Series C,Late-stage,"Citi Ventures, Craig Tooey, D1 Capital Partners, Frank Slootman, Howie Liu, ICONIQ Growth, Michael Scarpelli, Susquehanna Growth Equity, Tiger Global Management",HighRadius,Series C,"$300,000,000 ",3/30/21,2021,"D1 Capital Partners, Tiger Global Management","$3,100,000,000 ","$475,000,000 ",63.16%
Series E - Own Company,Series E,Venture-Growth,"Alkeon Capital, B Capital, BlackRock Private Equity Partners, Insight Partners, Salesforce Ventures, Sapphire Ventures, Tiger Global Management, Vertex Ventures",Own Company,Series E,"$240,000,000 ",8/10/21,2021,"Alkeon Capital, B Capital","$3,110,000,000 ","$507,250,000 ",47.31%
Series J - Zomato,Series J,Venture-Growth,"Temasek Holdings, Tiger Global Management",Zomato,Series J,"$166,000,000 ",9/10/20,2020,Tiger Global Management,"$3,134,000,000 ","$3,359,599,967 ",4.94%
Series J - Zomato,Series J,Venture-Growth,"Baillie Gifford, D1 Capital Partners, Fidelity, Kora, Lugard Road Capital, Luxor Capital Group, Mirae Asset Venture Investment, Steadview Capital, Tiger Global Management",Zomato,Series J,"$660,000,000 ",12/18/20,2020,,"$3,240,000,000 ","$3,359,599,967 ",19.65%
Series E - Root Insurance,Series E,Venture-Growth,"Coatue, Drive Capital, DST Global, Redpoint, Ribbit Capital, Scale Venture Partners, Tiger Global Management",Root Insurance,Series E,"$350,000,000 ",8/20/19,2019,"Coatue, DST Global","$3,300,000,000 ","$827,500,000 ",42.30%
Series D - Scale AI,Series D,Late-stage,"Bradley Horowitz, Tiger Global Management",Scale AI,Series D,"$155,000,000 ",12/1/20,2020,Tiger Global Management,"$3,345,000,000 ","$1,602,620,000 ",9.67%
Series D - Papaya Global,Series D,Late-stage,"Access Industries, Alkeon Capital, Bessemer Venture Partners, Greenoaks, Group 11, Insight Partners, IVP, Scale Venture Partners, Tiger Global Management, Workday Ventures",Papaya Global,Series D,"$250,000,000 ",9/11/21,2021,Insight Partners,"$3,450,000,000 ","$444,500,000 ",56.24%
Series F - Peloton,Series F,Venture-Growth,"Balyasny Asset Management, Felix Capital, Fidelity, G Squared, Kleiner Perkins, NBCUniversal, Notable Capital, QuestMark Partners, TCV, Tiger Global Management, True Ventures, Wellington Management, Winslow Capital",Peloton,Series F,"$550,000,000 ",8/2/18,2018,TCV,"$3,450,000,000 ","$2,169,707,000 ",25.35%
Series C - FalconX,Series C,Late-stage,"Altimeter Capital, American Express Ventures, B Capital, Mirae Asset, Sapphire Ventures, Tiger Global Management",FalconX,Series C,"$210,000,000 ",8/10/21,2021,"Altimeter Capital, B Capital, Sapphire Ventures, Tiger Global Management","$3,540,000,000 ","$476,999,952 ",44.03%
Series E - Relativity Space,Series E,Venture-Growth,"Baillie Gifford, BlackRock, Brad Buss, Centricus, Coatue, Ethos VC, Fidelity, Inertia Ventures, Jared Leto, K5 Global, Mark Cuban, Montauk Ventures, Salmira Investment Fund, Sand Hill Angels, Soroban Capital Partners LP, Spencer Rascoff, Taihill Venture, Tiger Global Management, Tribe Capital, Valia Ventures, XN",Relativity Space,Series E,"$650,000,000 ",6/8/21,2021,Fidelity,"$3,550,000,000 ","$1,355,719,978 ",47.95%
Series C - ClickUp,Series C,Late-stage,"Andreessen Horowitz, Lightspeed Venture Partners, Meritech Capital Partners, Tiger Global Management",ClickUp,Series C,"$400,000,000 ",10/27/21,2021,"Andreessen Horowitz, Tiger Global Management","$3,600,000,000 ","$537,500,000 ",74.42%
Series H - Olive,Series H,Venture-Growth,"Base10 Partners, Employee Stock Option Fund, Tiger Global Management, Vista Equity Partners",Olive,Series H,"$400,000,000 ",7/1/21,2021,Vista Equity Partners,"$3,600,000,000 ","$856,322,171 ",46.71%
Series D - VAST Data,Series D,Late-stage,"83North, Common Fund, Dell Technologies Capital, Goldman Sachs, Greenfield Partners, Mellanox Capital, Next47, Norwest Venture Partners, NVIDIA, Phoenix Financial, The Syndicate Group, Tiger Global Management",VAST Data,Series D,"$83,000,000 ",5/4/21,2021,Tiger Global Management,"$3,617,000,000 ","$381,000,000 ",21.78%
Series E - CRED,Series E,Venture-Growth,"Alpha Wave Global, Coatue, Dragoneer Investment Group, DST Global, Insight Partners, Marshall Wace, RTP Global, Sofina, Steadfast Capital Management, Tiger Global Management, Whiteboard Capital",CRED,Series E,"$251,000,000 ",10/19/21,2021,"Alpha Wave Global, Tiger Global Management","$3,759,000,000 ","$801,492,149 ",31.32%
Series F - Patreon,Series F,Venture-Growth,"DFJ Growth, Domenico Loprieno, Glade Brook Capital Partners, Lone Pine Capital, New Enterprise Associates, Tiger Global Management, Wellington Management, Woodline Partners",Patreon,Series F,"$155,000,000 ",4/6/21,2021,Tiger Global Management,"$3,845,000,000 ","$413,300,000 ",37.50%
Series G - Roblox,Series G,Venture-Growth,"Altos Ventures, Andreessen Horowitz, Meritech Capital Partners, Temasek Holdings, Tencent, Tiger Global Management",Roblox,Series G,"$150,000,000 ",2/26/20,2020,Andreessen Horowitz,"$3,850,000,000 ","$856,742,214 ",17.51%
Series C - SenseTime,Series C,Late-stage,"5Y Capital, Fidelity International, HOPU Investment Management Company, Qualcomm Ventures, Silver Lake, Singtel Innov8, Tiger Global Management",SenseTime,Series C,"$620,000,000 ",5/31/18,2018,"Fidelity International, HOPU Investment Management Company, Silver Lake, Tiger Global Management","$3,880,000,000 ","$2,900,603,744 ",21.37%
Series E - Dataiku,Series E,Venture-Growth,"Battery Ventures, CapitalG, Dawn Capital, Eurazeo, FirstMark, ICONIQ Growth, Insight Partners, Lightrock, Olivier Pomel, Snowflake Ventures, Tiger Global Management",Dataiku,Series E,"$400,000,000 ",8/5/21,2021,Tiger Global Management,"$4,200,000,000 ","$846,835,229 ",47.23%
Series G - Outreach,Series G,Venture-Growth,"DFJ Growth, Lone Pine Capital, Mayfield Fund, PremjiInvest, Salesforce Ventures, Sands Capital Ventures, Sequoia Capital Global Equities, Steadfast Capital Management, Steadfast Financial, Tiger Global Management, Trinity Ventures, Vista Equity Partners",Outreach,Series G,"$200,000,000 ",6/2/21,2021,"PremjiInvest, Steadfast Capital Management, Steadfast Financial","$4,200,000,000 ","$489,018,000 ",40.90%
Series F - Toast,Series F,Venture-Growth,"9Yards Capital, Alta Park Capital, American Express Ventures, Bessemer Venture Partners, Counterpart Advisors, Durable Capital Partners, G Squared, Greenoaks, Light Street Capital, Strike Capital, TCV, Tiger Global Management, TPG",Toast,Series F,"$400,000,000 ",2/14/20,2020,"Bessemer Venture Partners, Greenoaks, Tiger Global Management, TPG","$4,500,000,000 ","$961,950,000 ",41.58%
Series D - Shein,Series D,Late-stage,"HongShan, Tiger Global Management",Shein,Series D,"$500,000,000 ",1/1/19,2019,"HongShan, Tiger Global Management","$4,500,000,000 ","$4,053,426,604 ",12.34%
Series E - Snyk,Series E,Venture-Growth,"Accel, Addition, Alkeon Capital, Atlassian Ventures, BlackRock, boldstart ventures, Canaan Partners, Coatue, Franklin Templeton, Geodesic Capital, Google Ventures, Kevin Faridah, Salesforce Ventures, Sands Capital Ventures, Stripes, Temasek Holdings, Tiger Global Management",Snyk,Series E,"$175,000,000 ",3/10/21,2021,"Accel, Tiger Global Management","$4,525,000,000 ","$1,195,500,000 ",14.64%
Secondary Market - Dream11,Secondary Market,Venture-Growth,"Alpha Wave Global, Chrys Capital, D1 Capital Partners, Footpath Ventures, Steadview Capital, TCV, Tiger Global Management, TPG Growth",Dream11,Secondary Market,"$399,747,526 ",3/24/21,2021,"D1 Capital Partners, TCV","$4,600,000,000 ","$1,618,988,532 ",24.69%
Series F - Samsara,Series F,Venture-Growth,"AllianceBernstein, Andreessen Horowitz, Dragon Capital, Dragoneer Investment Group, Empede Capital, Franklin Templeton, General Atlantic, General Catalyst, Sands Capital Ventures, Tiger Global Management, Warburg Pincus",Samsara,Series F,"$700,000,000 ",5/20/20,2020,,"$4,700,000,000 ","$930,000,000 ",75.27%
Series G - OfBusiness,Series G,Venture-Growth,"Alpha Wave Global, Ncubate Capital Partners, SoftBank Vision Fund, Tiger Global Management",OfBusiness,Series G,"$185,000,000 ",12/20/21,2021,"Alpha Wave Global, SoftBank Vision Fund, Tiger Global Management","$4,815,000,000 ","$878,125,171 ",21.07%
Venture Round - dLocal,Venture Round,Late-stage,"Alkeon Capital, Bond, D1 Capital Partners, Tiger Global Management",dLocal,Venture - Series Unknown,"$150,000,000 ",4/2/21,2021,Alkeon Capital,"$4,850,000,000 ","$357,000,000 ",42.02%
Secondary Market - OfBusiness,Secondary Market,Venture-Growth,"Alpha Wave Global, SoftBank Vision Fund, Tiger Global Management",OfBusiness,Secondary Market,"$140,000,000 ",12/20/21,2021,"Alpha Wave Global, SoftBank Vision Fund, Tiger Global Management","$4,860,000,000 ","$878,125,171 ",15.94%
Series G - Collibra,Series G,Venture-Growth,"Battery Ventures, CapitalG, Dawn Capital, Durable Capital Partners, ICONIQ Capital, Index Ventures, Sequoia Capital Global Equities, Sofina, Tiger Global Management",Collibra,Series G,"$250,000,000 ",11/9/21,2021,"Sequoia Capital Global Equities, Sofina","$5,000,000,000 ","$596,519,996 ",41.91%
Series J - Zomato,Series J,Venture-Growth,"Bow Wave Capital Management, Dragoneer Investment Group, Fidelity, Kora, Tiger Global Management",Zomato,Series J,"$250,000,000 ",2/22/21,2021,Kora,"$5,150,000,000 ","$3,359,599,967 ",7.44%
Corporate Round - PhonePe,Corporate Round,Late-stage,"Tencent, Tiger Global Management, Walmart",PhonePe,Corporate Round,"$350,000,000 ",8/18/21,2021,Walmart,"$5,250,000,000 ","$2,593,794,240 ",13.49%
Series C - Hopin,Series C,Late-stage,"Andreessen Horowitz, Coatue, DFJ Growth, General Catalyst, IVP, Northzone, Salesforce Ventures, Tiger Global Management",Hopin,Series C,"$400,000,000 ",3/4/21,2021,"Andreessen Horowitz, General Catalyst, IVP","$5,250,000,000 ","$1,021,440,519 ",39.16%
Series E - Workato,Series E,Venture-Growth,"Altimeter Capital, Battery Ventures, Geodesic Capital, Insight Partners, Redpoint, Tiger Global Management, Unbound Ventures",Workato,Series E,"$200,000,000 ",11/10/21,2021,Battery Ventures,"$5,500,000,000 ","$415,000,000 ",48.19%
Series J - Ola,Series J,Venture-Growth,"Accel, Alpha Wave Global, GIC, Sachin Bansal, SoftBank, Steadview Capital, Tiger Global Management",Ola,Series J,"$95,240,732 ",1/10/19,2019,Steadview Capital,"$5,614,034,266 ","$4,966,943,275 ",1.92%
Series E - Hinge Health,Series E,Venture-Growth,"Coatue, IP Group, TCV, Tiger Global Management",Hinge Health,Series E,"$400,000,000 ",10/28/21,2021,"Coatue, Tiger Global Management","$5,800,000,000 ","$826,132,500 ",48.42%
Series B - OneStream Software,Series B,Early-stage,"D1 Capital Partners, Investment Group of Santa Barbara, Tiger Global Management",OneStream Software,Series B,"$200,000,000 ",4/6/21,2021,D1 Capital Partners,"$5,800,000,000 ","$200,000,000 ",100.00%
Series F - Databricks,Series F,Venture-Growth,"Alkeon Capital, Andreessen Horowitz, BlackRock, Coatue, Dragoneer Investment Group, Geodesic Capital, Green Bay Ventures, Microsoft, New Enterprise Associates, T. Rowe Price, Tiger Global Management",Databricks,Series F,"$400,000,000 ",10/22/19,2019,Andreessen Horowitz,"$5,800,000,000 ","$3,997,000,000 ",10.01%
Series G - DataRobot,Series G,Venture-Growth,"Altimeter Capital, Ballistic Ventures, Counterpoint Global, Franklin Templeton, HMC Capital, J17 Capital, Page One Ventures, Salesforce Ventures, ServiceNow Ventures, Sutter Hill Ventures, Tiger Global Management",DataRobot,Series G,"$300,000,000 ",6/27/21,2021,"Altimeter Capital, Tiger Global Management","$6,000,000,000 ","$1,050,598,000 ",28.56%
Series F - Meicai,Series F,Venture-Growth,"Hillhouse Investment, Shunwei Capital, Tiger Global Management",Meicai,Series F,"$800,000,000 ",10/8/18,2018,"Hillhouse Investment, Shunwei Capital, Tiger Global Management","$6,200,000,000 ","$1,453,352,805 ",55.05%
Series E - Zuoyebang,Series E,Venture-Growth,"FountainVest Partners, HongShan, Qatar Investment Authority, SoftBank Vision Fund, Tiantu Capital, Tiger Global Management, Xianghe Capital",Zuoyebang,Series E,"$750,000,000 ",6/29/20,2020,"FountainVest Partners, Tiger Global Management","$6,500,000,000 ","$2,935,000,000 ",25.55%
Series E - Attentive,Series E,Venture-Growth,"Base10 Partners, Coatue, D1 Capital Partners, Gutbrain Ventures, IVP, TCV, Tiger Global Management",Attentive,Series E,"$470,000,000 ",3/24/21,2021,Coatue,"$6,530,000,000 ","$863,000,000 ",54.46%
Series D - Brex,Series D,Late-stage,"Baillie Gifford, Base10 Partners, Dragoneer Investment Group, DST Global, Durable Capital Partners, GIC, Greenoaks, Hugo Barra, IVP, Lone Pine Capital, Madrone Capital Partners, Ribbit Capital, TCV, Tiger Global Management, Tony Hua, Valiant Capital Partners, Y Combinator Continuity Fund",Brex,Series D,"$425,000,000 ",4/26/21,2021,Tiger Global Management,"$6,970,000,000 ","$1,464,120,000 ",29.03%
Series E - Scale AI,Series E,Venture-Growth,"Coatue, Dragoneer Investment Group, Durable Capital Partners, Founders Fund, Greenoaks, Human Capital, Index Ventures, Junipero Capital, Tiger Global Management, Wellington Management, Y Combinator",Scale AI,Series E,"$325,000,000 ",4/13/21,2021,"Dragoneer Investment Group, Greenoaks, Tiger Global Management","$6,975,000,000 ","$1,602,620,000 ",20.28%
Series D - Lacework,Series D,Late-stage,"Altimeter Capital, Alumni Ventures, Coatue, Counterpoint Global, D1 Capital Partners, Dragoneer Investment Group, Durable Capital Partners, Ethos Family Office, Franklin Templeton, General Catalyst, Human Capital, K5 Global, Liberty Global Ventures, Snowflake Ventures, Sutter Hill Ventures, Tiger Global Management, XN",Lacework,Series D,"$1,300,000,000 ",11/18/21,2021,Altimeter Capital,"$7,000,000,000 ","$1,899,000,000 ",68.46%
Series D - Getir,Series D,Late-stage,"Base Partners, DisruptAD, Mubadala, Sequoia Capital, Silver Lake, Tiger Global Management",Getir,Series D,"$555,000,000 ",6/4/21,2021,,"$7,000,000,000 ","$1,793,000,000 ",30.95%
Series E - Gong,Series E,Venture-Growth,"Coatue, Franklin Templeton, Salesforce Ventures, Sequoia Capital, Skip Capital, Thrive Capital, Tiger Global Management",Gong,Series E,"$250,000,000 ",6/3/21,2021,Franklin Templeton,"$7,000,000,000 ","$583,000,000 ",42.88%
Series F - Razorpay,Series F,Venture-Growth,"Alkeon Capital, GIC, Lone Pine Capital, Peak XV Partners, TCV, Tiger Global Management, Y Combinator",Razorpay,Series F,"$375,000,000 ",12/19/21,2021,"Alkeon Capital, Lone Pine Capital, TCV","$7,125,000,000 ","$816,309,769 ",45.94%
